userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
616267764,750,1916,3907,5694,70.016,65.4438,0,0,Religion
61672934,1830,3417,6733,14489,73.1104,64.3843,0,0,Religion
616938484,1763,1816,1917,570,71.6421,57.8807,0,0,Religion
61797635,639,662,1210,435,62.8835,61.6656,0,0,Religion
61836778,1113,945,9117,197,68.4401,48.4078,0,0,Religion
62030459,656823,7,5897,2,98.6204,101.777,0,1,Religion
620340562,1280,562,20514,341,72.3119,62.2407,0,0,Religion
624591245,850750,711,2805,3124,104.554,87.993,0,0,Religion
626363868,4326,511,12576,3330,78.1962,77.9651,0,1,Religion
62716287,624,1061,4918,1881,66.4915,56.3357,0,0,Religion
62851714,197498,24,14571,2605,97.6908,97.5812,0,0,Religion
630853946,109087,29,9961,9908,89.6385,82.1979,0,0,Religion
630855229,20931,370,6336,25,86.7021,79.4257,0,1,Religion
63262930,17595,15123,86009,28747,85.2526,72.7149,0,0,Religion
633007028,24496,26114,19649,4667,87.1668,76.3969,0,0,Religion
633177122,815,414,7345,2829,69.1548,70.2772,0,0,Religion
63422142,173815,2177,16319,209,96.0152,66.6281,0,1,Religion
636046406,1037,1494,2565,1326,70.3151,61.6701,0,0,Religion
64086329,7490,3991,5583,1878,81.569,82.3213,0,1,Religion
64407212,2166,2127,5213,3,70.0303,56.2128,0,0,Religion
64424049,12005,7517,3770,1327,80.2255,67.4677,0,0,Religion
6461032,770779,90,10992,2428,104.77,95.3759,0,1,Religion
65134288,1429,2485,1429,1819,67.6342,59.766,0,0,Religion
65331724,1493,293,6460,956,72.5291,69.5566,0,0,Religion
65373788,763,714,8033,1166,70.1321,64.2048,0,0,Religion
65711092,721,1103,9765,142,67.8945,64.794,0,0,Religion
66756794,7911,123,2958,2266,80.9051,82.1929,0,0,Religion
66988234,1255,280,2552,17,70.6028,57.6309,0,0,Religion
67392303,1226,2047,4864,84,70.39,57.1987,0,0,Religion
67547268,263864,5751,73530,763,99.3915,93.3165,0,0,Religion
67611162,267530,1,5136,3,91.8379,98.7177,0,1,Religion
67693241,1767,144,2382,152,70.7839,66.8914,0,0,Religion
68308797,5960,6132,4271,75,76.9486,68.4457,0,0,Religion
68394060,702,398,3342,1581,69.2761,69.6451,0,0,Religion
68633933,27539,171,1684,1283,83.7639,72.5994,0,1,Religion
69356087,1100097,82,17675,235,106.25,106.367,0,0,Religion
69448192,1321,813,2514,941,71.0367,63.9056,0,0,Religion
69503505,6602,1541,6340,321,68.1957,37.6079,0,0,Religion
69525847,1153,5000,3967,229,69.9063,55.5685,0,0,Religion
69613960,936,2116,6494,1444,71.0904,62.6458,0,0,Religion
70112919,7355,5688,7234,0,81.3767,80.2381,0,0,Religion
701460246,2486,1177,4202,1091,75.9421,72.874,0,0,Religion
701857983718944768,1449,484,1988,796,70.4744,73.818,0,1,Religion
70207609,1500279,992,10433,2,106.921,100.405,0,1,Religion
702506207345549312,1633,3610,2144,1459,71.7453,62.9813,0,0,Religion
707742198855569409,12009,10962,4554,8654,83.3097,81.7432,0,0,Religion
70835422,1881,1548,698,5,63.5245,55.3548,0,0,Religion
709166235376754688,4538,4719,1024,800,72.944,69.9506,0,0,Religion
709505904,7645,8324,242593,2376,80.7356,68.2703,0,0,Religion
71056294,728,280,3677,36,68.9827,66.8173,0,0,Religion
71092449,1444,768,3483,411,72.9158,71.4378,0,0,Religion
713622080839921665,587,1183,1150,0,53.0288,24.4044,0,0,Religion
714176257,23663,266,6212,130,78.1902,63.8965,0,0,Religion
715837134,708,52,1454,2,63.4734,53.8471,0,0,Religion
716051603132780544,1631,4984,2781,1331,73.264,73.1619,0,0,Religion
717693071,1429,4940,3467,3194,73.3294,74.6919,0,0,Religion
717736901,316746,2,7027,168,90.2537,97.0808,0,0,Religion
71787212,547,459,6039,295,68.1428,64.0664,0,0,Religion
718050407293976577,3297,612,29203,1167,77.065,84.6037,0,0,Religion
718131236649218048,3818,2387,3705,2352,78.2887,72.5384,0,0,Religion
718379263934771201,843,1426,686,135,60.8136,52.5281,0,0,Religion
719451691452653568,1221,1109,1719,715,68.9105,57.387,0,0,Religion
720125880,1397,588,2473,4,71.2935,61.8686,0,0,Religion
720605348,694,2153,8322,589,62.8155,49.3197,0,0,Religion
721209425449488386,1973,586,746,701,65.7291,55.2107,0,0,Religion
721384756651388928,2378,4645,7762,6767,75.0211,64.0371,0,0,Religion
722147977,359870,1,7809,0,92.5915,93.392,0,0,Religion
722711441904689153,648,616,2080,4,59.6819,47.8775,0,0,Religion
723598190432391169,5956,5724,44279,26426,80.4828,74.3257,0,0,Religion
724474597,1613,2827,679,469,65.4744,54.4424,0,0,Religion
72751677,5981,6333,17199,2317,80.4584,66.3126,0,0,Religion
727862196626141184,793,1691,8389,1194,68.9475,63.8177,0,0,Religion
727923025174204416,3671,2675,44711,57,75.0405,62.787,0,0,Religion
731850388287053825,1377,1023,3902,23860,72.5388,68.536,0,0,Religion
731930055799099392,2116,4151,12332,8430,75.3193,67.8686,0,0,Religion
73388456,5914,2831,12695,16,72.2823,54.344,0,0,Religion
73402979,1536206,38,4289,59,105.357,112.083,0,0,Religion
734923324522909696,2554,211,2814,2081,73.6353,57.3167,0,0,Religion
735215850,1270,1377,5287,440,72.2423,69.6186,0,0,Religion
735681546,269518,239386,26597,0,86.7375,64.0411,0,0,Religion
736462781940039680,751,4944,1430,16,54.9121,31.7836,0,0,Religion
736927423606882304,1564,1801,1722,203,69.0758,50.763,0,0,Religion
737424985443028992,573,543,505,232,59.3515,56.1484,0,0,Religion
73840833,667,2265,1013,410,62.063,49.602,0,0,Religion
740725181803532288,2955,2894,7139,10,74.2943,58.7641,0,0,Religion
741306513181057025,642,2156,7561,769,66.7742,63.4938,0,0,Religion
7439692,573025,52,4562,4401,101.246,106.188,0,1,Religion
745016992743063552,10132,148,10544,8285,82.6426,70.1594,0,0,Religion
745143590385377280,7628,7366,17479,18051,81.3555,73.3195,0,0,Religion
745199798421168128,2662,3202,31155,23714,75.154,67.0775,0,0,Religion
74521392,1930,462,10846,1497,74.1244,74.1685,0,0,Religion
745337355347890177,1791,4259,23262,11441,74.3723,72.9369,0,0,Religion
746854841637560320,777,967,4943,5696,70.1343,70.0229,0,0,Religion
74694859,3581809,304,2914,0,111.637,98.922,0,1,Religion
747805506,3128,3532,12650,1575,77.2151,79.2894,0,0,Religion
748242414440153088,1020,2409,30946,16806,71.6797,63.4095,0,0,Religion
749283719245099008,1521,1229,32080,9441,72.4424,75.6595,0,0,Religion
749834523160948737,624,2329,11380,2917,69.1954,66.3704,0,0,Religion
74995651,510,1072,1432,119,63.7538,54.5848,0,0,Religion
750922316,1097,4672,5609,1208,70.8435,60.8778,0,0,Religion
750966565093445633,5043,5421,8458,0,66.8853,53.7875,0,0,Religion
752456659,1148,2150,3674,643,71.8686,62.1861,0,0,Religion
753415702690734080,2193,2196,1094,2923,69.4828,62.6251,0,0,Religion
75359795,60800,1,862,6,84.5857,67.4286,0,0,Religion
754073427049193472,554,1021,59598,2097,55.8495,33.9687,0,0,Religion
754343365488021504,1214,4997,10896,40189,72.398,65.4199,0,0,Religion
755774394698530816,987,1666,1923,748,68.4009,66.3333,0,0,Religion
755865228261330945,1882,3400,670,511,65.6324,48.5769,0,0,Religion
756150611343663104,701,1516,531,315,57.7344,50.3082,0,0,Religion
756451015927468033,2382,3885,629,0,58.2177,34.5318,0,0,Religion
757470571865047041,8124,8479,55428,1540,76.4001,71.1444,0,0,Religion
758067565,570,1218,1689,1297,65.4058,61.3177,0,0,Religion
75815069,3344,1553,4289,1038,74.0887,59.1186,0,0,Religion
758256546568478720,962,4871,2026,1862,64.4569,68.1263,0,0,Religion
758507036,767,1159,14294,166,65.9662,55.5508,0,0,Religion
759424266647502848,1273,60,561,486,64.042,72.3631,0,0,Religion
7595142,5597,482,1382,110,75.698,69.5611,0,1,Religion
