userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1339167287,331,97516,1649,1,1,1,0,34,Singer
1355837881,109,633535,573,1,1,1,0,22,Singer
1359703040,302,1260001,2538,1,-1,1,0,43,Singer
1365168845,480,180676,1740,1,1,1,0,43,Singer
1368815187,1263,576270,5630,1,1,1,0,30,Singer
1371097867,251,72272,667,1,1,1,0,35,Singer
1375056585,910,112128,3015,1,1,1,0,26,Singer
1375871071,199,1240487,679,1,1,1,0,30,Singer
1375908823,394,108098,284,1,-1,1,0,33,Singer
1377828950,700,2750568,3705,1,1,1,0,41,Singer
1379198304,1460,14146,2683,1,-1,1,0,27,Singer
1381606037,263,233136,830,1,-1,1,0,17,Singer
1385600575,519,535503,584,1,1,1,0,36,Singer
1393786362,87,1760080,528,1,-1,1,0,35,Singer
1398582694,232,2195675,451,1,1,1,0,45,Singer
1405094090,541,449295,5619,1,-1,1,0,30,Singer
1418661771,12,260034,211,1,1,1,0,7,Singer
1420052971,381,1002424,3137,1,-1,1,0,34,Singer
1435541522,957,286073,1548,1,1,0,0,32,Singer
1437737072,612,259345,3753,1,1,1,0,45,Singer
1496883920,1752,322643,8687,1,1,1,0,36,Singer
1500662492,476,412301,1621,1,-1,1,0,27,Singer
1504965390,282,5125862,1556,1,-1,1,0,33,Singer
1508123602,430,209223,2,1,1,1,0,33,Singer
1511949081,368,12494,622,1,-1,1,0,33,Singer
1523125043,289,490866,676,1,1,1,0,37,Singer
1526451275,441,6936102,701,1,-1,1,0,42,Singer
1532415541,318,198541,1123,1,-1,1,0,38,Singer
1553193857,118,1105325,184,1,1,1,0,41,Singer
1559608147,402,929471,1667,1,1,1,0,36,Singer
1562373795,1735,111798,859,1,1,1,0,33,Singer
1563008055,690,1029390,1656,1,-1,1,0,26,Singer
1563092034,1069,3600896,10900,1,1,1,0,43,Singer
1564490100,368,527323,547,1,1,1,0,33,Singer
1566169821,319,267586,5034,1,1,1,0,26,Singer
1571270510,224,713724,953,1,1,1,0,31,Singer
1574790192,507,318273,7283,1,1,1,0,46,Singer
1576886737,474,42722,1096,1,-1,1,0,36,Singer
1577411574,107,330731,1133,1,-1,1,0,28,Singer
1577619582,741,264146,7394,1,-1,1,0,39,Singer
1579681914,785,216750,1462,1,-1,1,0,32,Singer
1580993472,708,1029272,1240,1,-1,1,0,32,Singer
1582188504,266,433670,542,1,-1,1,0,35,Singer
1583038204,323,393325,1012,1,1,1,0,31,Singer
1583720744,273,143330,2045,1,1,1,0,44,Singer
1587898410,360,56621,6757,1,-1,1,0,37,Singer
1590664231,497,205823,1850,1,1,1,0,38,Singer
1594576303,111,200890,157,1,1,1,0,39,Singer
1594828152,2048,117570,1085,1,1,1,0,23,Singer
1596248761,1638,130878,2243,1,1,1,0,34,Singer
1597044620,109,659371,712,1,1,1,0,43,Singer
1606111614,196,55226,110,1,1,1,0,38,Singer
1606692571,401,902351,1434,1,-1,1,0,36,Singer
1608252870,308,21238,1179,1,1,1,0,17,Singer
1608565194,230,97426,337,1,1,1,0,12,Singer
1613806934,143,867699,260,1,-1,1,0,38,Singer
1616194224,361,369632,859,1,-1,1,0,33,Singer
1617376221,692,220725,6304,1,1,1,0,26,Singer
1617774874,768,317098,1632,1,1,1,0,41,Singer
1618128801,787,271615,1720,1,1,1,0,40,Singer
1621444281,551,3159101,2523,1,-1,1,0,34,Singer
1623412013,451,1252762,3662,1,-1,1,0,36,Singer
1623895035,445,550473,4224,1,-1,1,0,36,Singer
1624923463,123,18632205,968,1,1,1,0,40,Singer
1625438880,364,659398,385,1,1,1,0,40,Singer
1625646585,246,4337063,674,1,1,1,0,39,Singer
1626443785,86,191001,5693,1,1,1,0,40,Singer
1630679884,1171,19351,1736,1,1,1,0,32,Singer
1631018122,649,534160,1766,1,1,1,0,33,Singer
1631988940,372,243608,2560,1,-1,1,0,28,Singer
1632440911,272,312832,138,1,-1,1,0,40,Singer
1640319534,276,59472,3720,1,-1,1,0,25,Singer
1640506857,458,343317,4919,1,-1,1,0,45,Singer
1641519890,171,1284713,1067,1,1,1,0,27,Singer
1641532261,1,71461,452,1,1,1,0,14,Singer
1644461042,649,31884139,3629,1,-1,1,0,46,Singer
1644479674,427,490225,2432,1,-1,1,0,44,Singer
1645211065,916,698547,2992,1,1,1,0,48,Singer
1645853014,361,1980049,2060,1,1,1,0,37,Singer
1646239802,2,10031008,13,1,-1,1,0,4,Singer
1646418957,421,231947,2866,1,1,1,0,39,Singer
1647281830,417,198115,1164,1,-1,1,0,38,Singer
1647688175,216,818304,1349,1,-1,1,0,23,Singer
1648764935,562,11613235,2806,1,1,1,0,40,Singer
1648988233,379,52388,1358,1,1,1,0,34,Singer
1649342455,1751,1169018,2282,1,1,1,0,29,Singer
1649680974,388,70517,610,1,1,1,0,41,Singer
1652442922,460,279203,1127,1,1,1,0,24,Singer
1652506815,245,799125,2098,1,-1,1,0,28,Singer
1653382134,383,911096,1043,1,1,1,0,38,Singer
1654162630,930,192540,15633,1,-1,1,0,48,Singer
1654510855,299,145589,2849,1,1,1,0,29,Singer
1654512001,393,1125054,234,1,-1,1,0,30,Singer
1655009693,396,3696021,1591,1,1,1,0,39,Singer
1656409327,257,294277,13747,1,1,1,0,45,Singer
1657190151,566,468902,966,1,1,1,0,31,Singer
1657995445,1745,184548,12114,1,-1,1,0,48,Singer
1658263687,225,702915,740,1,1,1,0,35,Singer
1660171673,742,154142,3119,1,1,1,0,28,Singer
1660352010,286,940730,3583,1,1,1,0,34,Singer
1662078983,89,1164744,4805,1,-1,1,0,28,Singer
1662716573,143,208936,4331,1,-1,1,0,30,Singer
1663559265,383,4623924,709,1,1,1,0,42,Singer
1664426741,107,1919579,1378,1,-1,1,0,40,Singer
1666038940,115,634190,1016,1,1,1,0,43,Singer
1666169631,898,7148654,3094,1,1,1,0,43,Singer
1670301037,1898,720886,3281,1,1,1,0,38,Singer
1671219215,952,353420,13240,1,1,1,0,46,Singer
1672384324,419,7226563,1766,1,-1,1,0,43,Singer
1673719714,396,145236,1932,1,-1,1,0,25,Singer
1675226062,344,82134,665,1,-1,1,0,28,Singer
1677856077,113,8172487,344,1,-1,1,0,36,Singer
1679093417,600,63911,3010,1,-1,1,0,35,Singer
1679517897,425,1731172,537,1,-1,1,0,35,Singer
1680352483,428,629101,1808,1,-1,1,0,38,Singer
1681213010,37,23548889,4662,1,-1,1,0,28,Singer
1681872504,580,146413,12043,1,-1,1,0,28,Singer
1686326292,366,13251678,5388,1,-1,1,0,40,Singer
1686534603,51,105049,1901,1,-1,1,0,34,Singer
1686751151,7,87717,156,1,1,1,0,9,Singer
1688101107,82,114380,23,1,1,1,0,43,Singer
1689023367,826,3953051,3976,1,1,1,0,31,Singer
1689224772,498,573928,4308,1,-1,1,0,31,Singer
1690031734,129,308577,525,1,1,1,0,29,Singer
1690626497,490,1241944,335,1,-1,1,0,41,Singer
1692131597,507,119334,28,1,1,1,0,28,Singer
1693286173,384,189105,4943,1,1,1,0,26,Singer
1698847797,485,378536,2296,1,1,1,0,34,Singer
1700752804,431,218424,10711,1,-1,1,0,33,Singer
1701740271,879,172812,5534,1,-1,1,0,32,Singer
1702129627,335,1882602,4842,1,-1,1,0,28,Singer
1702669051,328,1639704,2593,1,1,1,0,37,Singer
1702672140,215,491681,2782,1,-1,1,0,27,Singer
1703027601,957,460888,40,1,1,1,0,42,Singer
1703859825,403,1030495,2878,1,-1,1,0,28,Singer
1704959794,566,442581,4087,1,1,1,0,34,Singer
1705478027,729,505168,5791,1,-1,1,0,47,Singer
1705586121,450,24626640,5056,1,-1,1,0,48,Singer
1706813603,686,307505,9176,1,-1,1,0,36,Singer
1707027755,233,234480,84,1,1,1,0,31,Singer
1707178184,201,6908593,13718,1,-1,1,0,48,Singer
1707324351,750,131195,1264,1,1,1,0,32,Singer
1707463070,626,229942,2873,1,-1,1,0,36,Singer
1707679453,186,10986086,3587,1,1,1,0,41,Singer
1707691442,287,11174125,3011,1,1,1,0,39,Singer
1707894104,397,173791,3820,1,-1,1,0,32,Singer
1708101572,532,159846,4781,1,-1,1,0,31,Singer
1708240542,334,49182,2590,1,-1,1,0,38,Singer
1708580067,451,336568,4526,1,-1,1,0,34,Singer
1708859750,209,509713,2130,1,1,1,0,25,Singer
1709163734,881,147423,2777,1,1,1,0,37,Singer
1709172863,407,207442,6575,1,-1,1,0,28,Singer
1709359910,573,256723,5643,1,1,1,0,41,Singer
1709498127,226,4639935,176,1,1,1,0,33,Singer
1709979650,980,123156,2199,1,1,1,0,29,Singer
1710160653,455,261891,4098,1,1,1,0,31,Singer
1710874944,426,183421,1800,1,-1,1,0,27,Singer
1711765904,583,195642,4249,1,-1,1,0,33,Singer
1711784061,532,326969,1912,1,1,1,0,27,Singer
1711883345,79,397581,1022,1,1,1,0,32,Singer
1712398102,376,341612,5137,1,-1,1,0,33,Singer
1712540353,386,172751,2855,1,1,1,0,32,Singer
1712906127,901,115592,5111,1,1,1,0,48,Singer
1713573214,564,135368,9792,1,-1,1,0,48,Singer
1714176194,353,566548,3571,1,-1,1,0,30,Singer
1714878522,260,3148716,11128,1,1,1,0,45,Singer
1716995404,1229,649252,2021,1,1,1,0,34,Singer
1717017851,637,136724,4516,1,-1,1,0,21,Singer
1717675430,230,16925469,5232,1,1,1,0,44,Singer
1718178431,158,159024,2352,1,1,1,0,30,Singer
1720871355,436,309161,6014,1,1,1,0,42,Singer
1721839667,563,57250,3487,1,1,1,0,40,Singer
1722656062,305,13773052,2614,1,-1,1,0,40,Singer
1723200042,355,203743,1571,1,-1,1,0,43,Singer
1724910335,388,153539,2364,1,-1,1,0,23,Singer
