userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1486894350,1424,40598,10082,1,1,1,3,37,CEO
1494721357,1997,738480,5645,1,1,1,3,37,CEO
1496809985,808,15001,16931,1,-1,1,3,40,CEO
1496813162,928,84874,5494,1,1,1,3,29,CEO
1496838292,92,932704,669,1,1,1,3,27,CEO
1496839747,2358,334379,1946,1,-1,1,3,43,CEO
1496856857,370,136960,659,1,1,1,3,24,CEO
1496858485,374,100933,381,1,1,1,3,16,CEO
1496860091,227,1236386,5748,1,1,1,3,31,CEO
1496883447,689,2073410,717,1,1,1,3,33,CEO
1496915130,704,211152,12218,1,1,1,3,47,CEO
1497010391,772,67239,3104,1,1,1,3,36,CEO
1497034670,815,321303,6196,1,1,1,3,28,CEO
1497440574,218,193048,598,1,1,1,3,31,CEO
1503472883,658,25121,7017,1,1,1,3,30,CEO
1504855770,759,55794,2074,1,1,1,3,40,CEO
1506989771,710,28498,5026,1,1,1,3,20,CEO
1509681674,84,1272280,8999,1,1,1,3,48,CEO
1523471632,2555,14813,953,1,1,1,3,33,CEO
1528250204,2983,111007,12262,1,1,1,3,48,CEO
1535357532,74,190925,1597,1,1,1,3,29,CEO
1538533114,648,175771,1451,1,1,1,3,40,CEO
1546834344,649,292720,959,1,-1,1,3,19,CEO
1553093742,420,99373,2153,1,-1,1,3,21,CEO
1554710050,929,2977080,5278,1,1,1,3,37,CEO
1556264490,442,986714,498,1,1,1,3,46,CEO
1559626111,1528,144296,7027,1,1,1,3,23,CEO
1559696543,51,433058,2088,1,-1,1,3,28,CEO
1559930437,1016,20493,1241,1,1,1,3,24,CEO
1561301300,2121,257152,7313,1,1,1,3,41,CEO
1562925305,190,107267,1116,1,-1,1,3,47,CEO
1564027761,243,54268,3470,1,1,1,3,20,CEO
1569249227,2908,36424,5042,1,1,1,3,45,CEO
1572327891,46,206516,36,1,1,1,3,7,CEO
1573381805,1709,12600,5242,1,1,1,3,24,CEO
1576444231,287,25774,1001,1,1,1,3,24,CEO
1578462132,1723,12942,1610,1,1,1,3,23,CEO
1582319552,280,657478,5689,1,1,1,3,40,CEO
1582343562,149,38507,2724,1,1,1,3,43,CEO
1582488432,109,2760841,2390,1,1,1,3,34,CEO
1589641045,213,9707,2446,1,1,1,3,26,CEO
1591720401,1732,261715,4629,1,-1,1,3,37,CEO
1592705513,491,219434,28944,1,-1,1,3,45,CEO
1593597392,1800,110132,2045,1,1,1,3,41,CEO
1595142854,525,428681,2678,1,1,1,3,45,CEO
1596734535,2983,962506,5244,1,1,1,3,32,CEO
1598386753,1246,16770,12951,1,1,1,3,34,CEO
1598757462,2859,133222,1243,1,-1,1,3,25,CEO
1601476351,2059,207733,2607,1,1,1,3,40,CEO
1610668805,538,45806,18529,1,-1,1,3,44,CEO
1610902042,729,125173,8627,1,1,1,3,39,CEO
1611725355,189,117493,3652,1,-1,1,3,27,CEO
1615743707,755,67072,4598,1,1,1,3,36,CEO
1615883041,1503,16031,10066,1,1,1,3,38,CEO
1616082713,2696,34725,4599,1,-1,1,3,30,CEO
1617049114,547,202125,1339,1,1,1,3,30,CEO
1619994554,346,169460,1371,1,1,1,3,31,CEO
1620641271,48,84654,371,1,1,1,3,7,CEO
1625313365,321,146125,2356,1,1,1,3,16,CEO
1625393965,1735,28793,1210,1,1,1,3,21,CEO
1625876645,4186,23198,5353,1,1,1,3,34,CEO
1626024552,2653,15739,2337,1,1,1,3,21,CEO
1627370111,465,18181,1104,1,1,1,3,33,CEO
1627601305,2038,1002132,1465,1,1,1,3,46,CEO
1627605792,1141,111659,15580,1,1,1,3,43,CEO
1627961857,2103,839998,2408,1,1,1,3,40,CEO
1629427240,2873,27859,6366,1,-1,1,3,43,CEO
1629966190,1222,3827971,19540,1,1,1,3,48,CEO
1636397852,859,39808,5444,1,1,1,3,19,CEO
1636405730,369,137673,1181,1,-1,1,3,32,CEO
1638965542,2401,48221,2287,1,1,1,3,40,CEO
1639242750,212,59829,768,1,1,1,3,16,CEO
1639253565,83,169248,4,1,1,1,3,9,CEO
1640341465,2476,73382,5477,1,1,1,3,45,CEO
1640389024,625,116283,933,1,-1,1,3,23,CEO
1640571365,2327,14519230,29990,1,1,1,3,48,CEO
1640588040,1011,15821,2479,1,1,1,3,32,CEO
1640615142,551,26020,410,1,1,1,3,17,CEO
1641309377,1120,57966,2409,1,1,1,3,29,CEO
1641397760,1349,126593,11727,1,1,1,3,35,CEO
1641417650,1226,209658,7589,1,1,1,3,30,CEO
1641585215,625,108034,5702,1,-1,1,3,31,CEO
1642059035,1892,52515,6381,1,1,1,3,26,CEO
1642078111,212,55371,3583,1,-1,1,3,37,CEO
1642315170,1836,57569,2084,1,1,1,3,27,CEO
1642570093,1675,77345,25800,1,1,1,3,48,CEO
1642579683,363,16824,5856,1,1,1,3,31,CEO
1644262853,199,103547,619,1,1,1,3,16,CEO
1644273785,280,52226,548,1,1,1,3,26,CEO
1644299144,278,22350,1156,1,1,1,3,35,CEO
1644584712,168,16514,2523,1,1,1,3,37,CEO
1644669663,2014,63979,3305,1,1,1,3,33,CEO
1645531902,1928,46198,7535,1,1,1,3,25,CEO
1645545432,1953,88733,10109,1,1,1,3,35,CEO
1645609655,869,118636,2148,1,1,1,3,21,CEO
1645674873,1321,24426,614,1,1,1,3,32,CEO
1645854784,2859,102678,25293,1,1,1,3,47,CEO
1646007755,860,55878,2792,1,1,1,3,23,CEO
1646446167,2952,1257891,11810,1,1,1,3,46,CEO
1647874391,242,170755,460,1,1,1,3,19,CEO
1647933511,970,61426,7333,1,1,1,3,29,CEO
1648021814,2385,50347,17889,1,1,1,3,46,CEO
