userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1341614173,384,1843089,2949,293,-1,1,5,41,Actor
1343887012,95,9031339,3941,0,1,1,1,42,Actor
1345566427,727,31420530,5026,63,-1,1,5,42,Actor
1345943410,650,2194920,719,1175,-1,1,1000,33,Actor
1347118243,492,14537812,3538,55,-1,1,1,40,Actor
1350310131,385,8920199,931,2,1,1,1000,40,Actor
1353112775,697,3934944,795,167,-1,1,1000,41,Actor
1373421990,768,5831396,2077,132,1,1,1,38,Actor
1374321353,965,4441110,4097,1502,-1,1,1000,45,Actor
1375612913,535,1690956,5825,4069,-1,1,1000,47,Actor
1378010100,302,12155052,2409,0,-1,1,5,37,Actor
1378915695,451,40825683,2206,107,1,1,1,41,Actor
1384952882,259,14176062,4913,4,1,1,1000,39,Actor
1391230884,379,5952589,1940,177,-1,1,5,33,Actor
1398886745,130,1362563,1390,12,-1,1,1000,29,Actor
1419278235,415,826967,854,15,1,1,5,32,Actor
1419776167,890,1035343,4078,1047,-1,1,1,48,Actor
1423424121,801,5850011,4343,185,1,1,5,45,Actor
1426725707,1151,11755992,4102,1012,1,1,1000,44,Actor
1442576407,557,237251,2059,238,1,1,1000,29,Actor
1470809487,802,1516396,12660,1027,-1,1,5,48,Actor
1500894097,673,1127365,7741,43,-1,1,5,36,Actor
1503718664,167,1589078,1601,5,-1,1,5,38,Actor
1505903624,271,1551598,5246,4,1,1,1000,35,Actor
1506711913,236,5672573,5287,1,1,1,1000,42,Actor
1517934944,306,31833282,1572,0,1,1,1000,42,Actor
1526449335,381,10143716,1464,10,-1,1,5,40,Actor
1537790411,115,43722591,593,4,1,1,1000,41,Actor
1553328434,291,500320,138,1,1,1,5,43,Actor
1559877383,742,1181751,598,61,-1,1,1,41,Actor
1560151677,582,522513,219,565,-1,1,5,38,Actor
1566301073,675,9755871,2309,457,-1,1,5,41,Actor
1567875513,419,5093357,2423,26,1,1,5,40,Actor
1571904063,216,4062125,1269,4,1,1,5,37,Actor
1573486971,115,7246119,475,0,1,1,6,38,Actor
1576850535,378,52845,1184,55,1,1,1000,34,Actor
1580971924,354,1999176,690,250,-1,1,1000,42,Actor
1582160525,648,17154372,69,36,1,1,1000,40,Actor
1591038901,330,267017,2613,31,-1,1,1000,17,Actor
1592611830,548,187851,2146,336,1,1,1000,30,Actor
1592911662,150,1873241,788,0,1,1,1,36,Actor
1594052081,203,4190076,505,12,1,1,5,38,Actor
1596103295,489,5225962,820,4,-1,1,5,40,Actor
1600638174,358,232369,3173,25,1,1,1000,40,Actor
1603238494,195,943788,136,1,1,1,1000,18,Actor
1608574203,197,67750716,4140,209,1,1,1000,46,Actor
1609301832,363,542117,644,181,1,1,5,31,Actor
1611744442,54,1019133,19,6,1,1,1000,23,Actor
1623965900,226,3985598,1636,140,1,1,1000,35,Actor
1627500245,166,8009622,571,11,1,1,6,34,Actor
1627649343,120,413675,419,9,-1,1,1000,35,Actor
1628683864,699,353142,678,189,-1,1,5,39,Actor
1632538541,383,3841987,563,178,-1,1,5,43,Actor
1632798537,321,27895492,1237,167,1,1,1,39,Actor
1633478233,217,464440,579,400,1,1,5,33,Actor
1640016932,276,6692393,1017,10,-1,1,1000,37,Actor
1640631034,324,775297,1001,837,-1,1,5,40,Actor
1642351362,724,85661293,2671,494,-1,1,1000,45,Actor
1642630543,475,24271603,3188,634,-1,1,1000,41,Actor
1644419370,903,10446159,7687,41,-1,1,1,44,Actor
1644806805,406,4977055,1195,81,-1,1,1000,41,Actor
1647334697,125,819127,1587,281,1,1,1000,34,Actor
1649616130,216,4203245,96,303,-1,1,1000,45,Actor
1651077203,431,7433760,1339,169,1,1,2,39,Actor
1654807054,542,1788064,1610,4,1,1,4,37,Actor
1656214784,483,4477719,3646,64,-1,1,1,43,Actor
1656809190,485,80922221,4451,132,-1,1,1000,43,Actor
1658230341,346,1055028,420,17,1,1,5,23,Actor
1659406123,515,435182,474,7,1,1,1,25,Actor
1659490917,720,5236436,3015,1725,-1,1,5,46,Actor
1660235667,310,2419540,1615,116,-1,1,1,34,Actor
1660464335,277,4029980,356,0,1,1,5,42,Actor
1661496522,507,253299,904,10,-1,1,1000,19,Actor
1662055430,146,11166399,1858,218,-1,1,1,40,Actor
1662068793,195,12584013,1613,713,-1,1,1,39,Actor
1662532110,433,4067089,1779,7,-1,1,1000,41,Actor
1665256992,94,24533378,4729,2,-1,1,1000,44,Actor
1666680885,651,7874259,5867,600,1,1,5,47,Actor
1667541831,127,225088,439,68,1,1,5,26,Actor
1667629881,798,1002062,1612,387,-1,1,1000,32,Actor
1667860154,456,10518165,548,95,1,1,1000,31,Actor
1672785037,331,11805161,2345,31,-1,1,1,40,Actor
1677335501,522,375953,1690,70,-1,1,1000,32,Actor
1678147504,297,408157,3218,756,-1,1,1000,36,Actor
1686659730,307,1038748,1226,4267,1,1,5,41,Actor
1687865847,539,2194676,732,119,1,1,1,36,Actor
1689369091,500,2849731,2,24,1,1,1000,18,Actor
